Method,Version,RMSE,MAE,R2,Timestamp,NormRMSE,NormMAE,R2_shifted,NormR2,R2Loss,Composite
FedGen,3,0.6135905323923128,0.5961053624898138,-9.350263260854746,2025-04-09 14:09:46,0.7766885882871508,0.7854681074468928,5.346212516798884,0.3493519245967189,0.6506480754032811,0.7376015903791081
FedGen,4,0.36895287790622716,0.34320342104263046,-2.7422767467956826,2025-04-09 14:09:59,0.39205017617526644,0.38395046177411557,11.954199030857946,0.78115533666496,0.21884466333504005,0.3316151004281407
FedGen,5,0.1322980726550536,0.10285516666123885,0.5188271314559461,2025-04-09 14:10:11,0.019963022618797066,0.0023635720549148465,15.215302909109576,0.9942544068192428,0.00574559318075718,0.009357395951489697
FedGen,6,0.11960119455829554,0.10136643517488864,0.6067532598574341,2025-04-09 14:10:22,0.0,0.0,15.303229037511064,1.0,0.0,0.0
FedGen,7,0.47942634937400014,0.4451808113526692,-5.318847803806663,2025-04-09 14:10:34,0.5657451894597755,0.5458540099827078,9.377627973846966,0.6127875333278129,0.3872124666721871,0.4996038887048901
FedGen,8,0.5674494529014491,0.5535981629486341,-7.852143789532866,2025-04-09 14:10:46,0.7041419822228604,0.7179819087002459,6.844331988120764,0.44724756921196385,0.5527524307880362,0.6582921072370475
FedGen,9,0.2212559886913236,0.17793831985847644,-0.345811284448603,2025-04-09 14:10:58,0.15982960056180698,0.12156871033472241,14.350664493205027,0.9377540163601339,0.06224598363986611,0.11454809817879849
FedGen,10,0.47684218910546505,0.45518297158638654,-5.250912830512197,2025-04-09 14:11:10,0.561682171015538,0.5617338557668209,9.445562947141433,0.6172267907634786,0.38277320923652136,0.5020630786729601
FedGen,11,0.20153852057754137,0.1717855513122618,-0.11663240994721713,2025-04-09 14:11:22,0.12882825842547913,0.11180031896963853,14.579843367706413,0.9527298671390529,0.047270132860947056,0.09596623675202155
FedGen,12,0.3389998966507624,0.3049930920665013,-2.1593171725046956,2025-04-09 14:11:35,0.344955761489508,0.32328615353241014,12.537158605148935,0.8192492299774136,0.18075077002258644,0.28299756168150153
